startTime:2020/12/14 8:54:21
toolVersion:1.0.7611.31201
PASS:28,FAIL:0,Total:252
Time:00:11:36
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60,19.53,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.97;2.08,0,8,%,PASS
NR,n1,384500,-60,16.54,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,16.54,10.8,25.7,dBm,PASS
NR,n1,384500,-60,16.54,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.44;1.46,0,3.5,%,PASS
NR,n1,384500,-60,-39.07,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-39.07,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-39.07,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.41;1.57,0,30,%,PASS
NR,n1,384500,-60,-39.03,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-39.03,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-39.03,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.03;2.32,0,30,%,PASS
NR,n1,384500,-60,-39.10,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-39.10,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-39.10,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.35;1.43,0,17.5,%,PASS
NR,n1,384500,-60,-38.93,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.93,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-38.93,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.05;2.13,0,17.5,%,PASS
NR,n1,384500,-60,-39.19,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-39.19,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-39.19,DFT,NR_5MHZ,SCS15,DFT_Inner_Full:12@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.80;1.83,0,12.5,%,PASS
NR,n1,384500,-60,-39.04,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-39.04,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-39.04,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.80;1.91,0,12.5,%,PASS
NR,n1,384500,-60,-39.10,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-39.10,-40,-36.6,dBm,PASS
NR,n1,384500,-60,-39.10,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.75;1.63,0,8,%,PASS
NR,n1,384500,-60,-29.11,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-29.11,-30,-26.6,dBm,PASS
NR,n1,384500,-60,-29.11,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.25;1.27,0,3.5,%,PASS
