startTime:2020/12/14 11:00:09
toolVersion:1.0.7611.31201
PASS:28,FAIL:0,Total:84
Time:00:05:50
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,386000,-60,19.44,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,2.07;2.08,0,8,%,PASS
NR,n1,386000,-60,16.41,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MaxPower,16.41,10.8,25.7,dBm,PASS
NR,n1,386000,-60,16.41,CP,NR_20MHZ,SCS15,CP_Outer_Full:106@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MaxPower,1.33;1.39,0,3.5,%,PASS
NR,n1,386000,-60,-38.74,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.74,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.74,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,1.99;1.99,0,30,%,PASS
NR,n1,386000,-60,-38.65,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.65,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.65,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.76;2.87,0,30,%,PASS
NR,n1,386000,-60,-38.87,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.87,-40,-36.6,dBm,PASS
NR,n1,386000,-60,-38.87,DFT,NR_20MHZ,SCS15,DFT_Inner_Full:50@25,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Error Vector Magnitude:MinPower,2.00;1.89,0,17.5,%,PASS
NR,n1,386000,-60,-38.77,DFT,NR_20MHZ,SCS15,DFT_Outer_Full:100@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_1_Error_Vector_Magnitude,Uplink Power:MinPower,-38.77,-40,-36.6,dBm,PASS
