startTime:2021/1/8 9:35:24
toolVersion:1.0.7654.38979
PASS:1,FAIL:0,Total:9
Time:00:02:23
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,StartTime,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n79,694668,-50.9,,CP,NR_40MHZ,SCS30,CP_Outer_Full:106@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_3_3_2_General_ON_OFF_time_mask,2021-1-8 9:36:22,Off Power Before,-60.89,-99,-48.5,dBm,PASS
NR,n79,694668,-50.9,,CP,NR_40MHZ,SCS30,CP_Outer_Full:106@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_3_3_2_General_ON_OFF_time_mask,2021-1-8 9:36:22,Off Power After,-67.58,-99,-48.5,dBm,PASS
NR,n79,694668,-50.9,,CP,NR_40MHZ,SCS30,CP_Outer_Full:106@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_3_3_2_General_ON_OFF_time_mask,2021-1-8 9:36:22,On Power,7.10,-10.5,10.5,dBm,PASS
