startTime:2020/12/23 8:57:29
toolVersion:1.0.7611.31201
PASS:18,FAIL:0,Total:108
Time:00:08:43
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60,21.06,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN3,29.88,99,0,dB,PASS
NR,n1,384500,-60,21.06,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN4,19.53,99,0,dB,PASS
NR,n1,384500,-60,19.92,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN1,14.35,99,0,dB,PASS
NR,n1,384500,-60,19.92,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN2,34.62,99,0,dB,PASS
NR,n1,384500,-60,19.92,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN3,38.72,99,0,dB,PASS
NR,n1,384500,-60,19.92,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN4,26.09,99,0,dB,PASS
NR,n1,384500,-60,20.57,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN1,20.67,99,0,dB,PASS
NR,n1,384500,-60,20.57,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN2,17.13,99,0,dB,PASS
NR,n1,384500,-60,20.57,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN3,29.97,99,0,dB,PASS
NR,n1,384500,-60,20.57,DFT,NR_5MHZ,SCS15,DFT_Outer_Full:25@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN4,20.07,99,0,dB,PASS
NR,n1,384500,-60,18.51,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN1,14.25,99,0,dB,PASS
NR,n1,384500,-60,18.51,DFT,NR_5MHZ,SCS15,DFT_Edge_1RB_Left:1@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_5_2_2_Spectrum_Emission_Mask,SEM_MARGIN2,35.27,99,0,dB,PASS
