startTime:2020/12/8 16:25:46
toolVersion:1.0.7611.31201
PASS:1,FAIL:0,Total:9
Time:00:03:01
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60.2,,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_3_3_2_General_ON_OFF_time_mask,Off Power Before,-80.00,-99,-48.5,dBm,PASS
NR,n1,384500,-60.2,,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_3_3_2_General_ON_OFF_time_mask,Off Power After,-80.23,-99,-48.5,dBm,PASS
NR,n1,384500,-60.2,,CP,NR_5MHZ,SCS15,CP_Outer_Full:25@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_3_3_2_General_ON_OFF_time_mask,On Power,-3.35,-10.5,10.5,dBm,PASS
