startTime:2021/1/6 11:57:39
toolVersion:1.0.7654.38979
PASS:101,FAIL:3,Total:104
Time:00:13:51
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,StartTime,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:41,Maximum Power Reduction,23.78,21.8,29,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:43,Maximum Power Reduction,22.75,18.5,29,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:44,Maximum Power Reduction,22.80,20.8,29,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:46,Maximum Power Reduction,23.79,21.8,29,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Edge_1RB_Left:1@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:47,Maximum Power Reduction,22.77,18.5,29,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:48,Maximum Power Reduction,22.68,20.8,29,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:50,Maximum Power Reduction,23.72,19,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Edge_1RB_Left:1@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:51,Maximum Power Reduction,22.69,18,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:52,Maximum Power Reduction,22.73,18,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:53,Maximum Power Reduction,22.68,18,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Edge_1RB_Left:1@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:55,Maximum Power Reduction,21.46,17,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:56,Maximum Power Reduction,21.58,17,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Edge_1RB_Left:1@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:57,Maximum Power Reduction,21.16,16.5,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:58:58,Maximum Power Reduction,21.20,16.5,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Edge_1RB_Left:1@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:0,Maximum Power Reduction,19.11,13.5,26,dBm,PASS
NR,n78,620334,-60,,DFT,NR_10MHZ,SCS30,DFT_Outer_Full:24@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:1,Maximum Power Reduction,19.26,13.5,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Inner_Full:12@6,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:2,Maximum Power Reduction,22.22,17.5,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Edge_1RB_Left:1@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:4,Maximum Power Reduction,20.78,16,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Outer_Full:24@0,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:5,Maximum Power Reduction,19.18,16,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Inner_Full:12@6,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:6,Maximum Power Reduction,21.63,17,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Edge_1RB_Left:1@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:8,Maximum Power Reduction,20.46,16,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Outer_Full:24@0,15,NR_16QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:9,Maximum Power Reduction,20.67,16,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Edge_1RB_Left:1@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:10,Maximum Power Reduction,20.24,15,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Outer_Full:24@0,20,NR_64QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:11,Maximum Power Reduction,20.18,15,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Edge_1RB_Left:1@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:13,Maximum Power Reduction,17.04,10.5,26,dBm,PASS
NR,n78,620334,-60,,CP,NR_10MHZ,SCS30,CP_Outer_Full:24@0,27,NR_256QAM,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:14,Maximum Power Reduction,17.28,10.5,26,dBm,PASS
NR,n78,653000,-60,,DFT,NR_10MHZ,SCS30,DFT_Inner_Full:12@6,0,NR_HalfPiBPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_2_2_Maximum_Power_Reduction__MPR,2021-1-6 11:59:28,Maximum Power Reduction,22.93,21.8,29,dBm,PASS
