startTime:2021/1/8 10:07:07
toolVersion:1.0.7654.38979
PASS:1,FAIL:0,Total:1
Time:00:00:49
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,StartTime,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n78,636666,-60,22.59,DFT,NR_100MHZ,SCS30,DFT_RefSensRBAllocation:270@0,2,NR_QPSK,CP_Outer_Full:273@0,2,NA,NA,NA,NA,NA,NR_6_4_1_Frequency_error,2021-1-8 10:7:54,Frequency Error,0.00,-0.1,0.1,ppm,PASS
