startTime:2020/12/17 9:09:09
toolVersion:1.0.7611.31201
PASS:16,FAIL:0,Total:144
Time:00:03:51
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60,11.10,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Uplink Power: TargetPow:11.75,11.10,10,13.5,dBm,PASS
NR,n1,384500,-60,11.10,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Inband Emission: TargetPow:11.75,25.86,0,99,dB,PASS
NR,n1,384500,-60,11.17,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Right:1@23,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Uplink Power: TargetPow:11.75,11.17,10,13.5,dBm,PASS
NR,n1,384500,-60,11.17,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Right:1@23,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Inband Emission: TargetPow:11.75,24.92,0,99,dB,PASS
NR,n1,384500,-60,11.00,CP,NR_5MHZ,SCS15,CP_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Uplink Power: TargetPow:11.75,11.00,10,13.5,dBm,PASS
NR,n1,384500,-60,11.00,CP,NR_5MHZ,SCS15,CP_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Inband Emission: TargetPow:11.75,25.14,0,99,dB,PASS
NR,n1,384500,-60,10.88,CP,NR_5MHZ,SCS15,CP_Inner_1RB_Right:1@23,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Uplink Power: TargetPow:11.75,10.88,10,13.5,dBm,PASS
NR,n1,384500,-60,10.88,CP,NR_5MHZ,SCS15,CP_Inner_1RB_Right:1@23,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Inband Emission: TargetPow:11.75,24.64,0,99,dB,PASS
NR,n1,384500,-60,0.88,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Uplink Power: TargetPow:1.75,0.88,0,3.5,dBm,PASS
NR,n1,384500,-60,0.88,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_3_In_band_emissions,Inband Emission: TargetPow:1.75,18.23,0,99,dB,PASS
