startTime:2020/12/15 10:32:10
toolVersion:1.0.7611.31201
PASS:4,FAIL:0,Total:36
Time:00:05:28
System,Band,Channel,CellPower,UEPower,Waveform,BW,SCS,UL RB Allocation,UL MCS,UL Modulation,DL RB Allocation,DL MCS,LTE Band,LTE Channel,LTE RB Allocation,LTE BW,LTE Modulation,TestCase,Item,MeasuredValue,LowLimit,UpLimit,Unit,Result
NR,n1,384500,-60,10.80,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_2_Carrier_leakage,Uplink Power: TargetPow:11.75,10.80,10,13.5,dBm,PASS
NR,n1,384500,-60,10.80,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_2_Carrier_leakage,Carrier Leakage: TargetPow:11.75,-71.44,-99,-28,dB,PASS
NR,n1,384500,-60,1.06,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_2_Carrier_leakage,Uplink Power: TargetPow:1.75,1.06,0,3.5,dBm,PASS
NR,n1,384500,-60,1.06,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_2_Carrier_leakage,Carrier Leakage: TargetPow:1.75,-66.66,-99,-25,dB,PASS
NR,n1,384500,-60,-28.79,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_2_Carrier_leakage,Uplink Power: TargetPow:-28.25,-28.79,-30,-26.5,dBm,PASS
NR,n1,384500,-60,-28.79,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_2_Carrier_leakage,Carrier Leakage: TargetPow:-28.25,-75.14,-99,-20,dB,PASS
NR,n1,384500,-60,-38.75,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_2_Carrier_leakage,Uplink Power:MinPower,-38.75,-40,-36.5,dBm,PASS
NR,n1,384500,-60,-38.75,DFT,NR_5MHZ,SCS15,DFT_Inner_1RB_Left:1@1,2,NR_QPSK,NA,NA,NA,NA,NA,NA,NA,NR_6_4_2_2_Carrier_leakage,Carrier Leakage:MinPower,-66.47,-99,-10,dB,PASS
